review_id,location,review,correct_labels,correct_decision,Decision,Primary Violation,Explanation
R002,Sunrise Coffee Bar,Best beans in town! For exclusive deals visit www.beanbonanza.co now!,No Advertisement,Flagged,Flagged,No Advertisement,"The review contains a promotional message (""For exclusive deals visit www.beanbonanza.co now!"") and a link to an external website, which violates the policy of no advertisement."
R001,Sunrise Coffee Bar,Great cappuccino and friendly baristas. Wi-Fi was reliable for a quick email check.,,Valid,Valid,None,"The review is focused on the reviewer's experience at Sunrise Coffee Bar, mentioning their satisfaction with the cappuccino and Wi-Fi. There is no promotional content or unrelated matter mentioned in the review."
R004,Lotus Thai Kitchen,The pad thai was balanced and the mango sticky rice was fresh. Will return.,,Valid,Valid,None,"The review is focused on the reviewer's experience at Lotus Thai Kitchen and does not contain any promotional content, irrelevant information, or speculation. It provides a positive assessment of the food quality."
R005,City Gym,"Check out my YouTube channel for fitness tips and gear links! Anyway, treadmill looked fine.",No Advertisement,Flagged,Flagged,No Advertisement,"The review contains a link to the reviewer's YouTube channel and mentions ""gear links"", which is promotional content and violates the no advertisement policy."
R006,City Gym,I love my new phone’s camera—portrait mode is incredible. 5 stars!,No Irrelevant Content,Flagged,Valid,No Advertisement,"The review does not contain any advertisement, discount offer, or link. It only expresses the reviewer's personal experience with their new phone's camera."
XIC1,Sunrise Coffee Bar,This place reminds me of my favorite video game—graphics were amazing!,No Irrelevant Content,Flagged,Flagged,No Rant Without Visit,"The review mentions the location reminding them of their favorite video game, which is unrelated to the actual experience at Sunrise Coffee Bar. This suggests that the reviewer has not visited the location and is basing their opinion on a third-party reference (the video game)."
R018,Riverside Vet Clinic,"I’ve never brought my pet here, but prices look outrageous from their website.",No Rant Without Visit,Flagged,Flagged,No Rant Without Visit,The reviewer is expressing a negative opinion about prices without mentioning their actual experience at the clinic.
R009,Harborview Dental Clinic,Use code SMILE50 at dentaldeals.example for half off whitening near you!,No Advertisement,Flagged,Flagged,No Advertisement,"The review contains an advertisement for a discount offer (""Use code SMILE50 at dentaldeals.example for half off whitening near you!"") and links to a third-party website, violating the policy of not including promotional content or links."
R020,Pinecone Hardware,Helpful staff cut keys while I waited; fair prices.,,Valid,Valid,None,"The review provides an account of the reviewer's experience, including a positive interaction with staff and the price being perceived as fair. The content is relevant to the location, Pinecone Hardware."
R015,Skyline Cinema,Movie was boring (not the cinema’s fault). Seats were comfy and sound was crisp.,,Valid,Valid,None,"The review does not contain any promotional content, irrelevant information, or speculation about the reviewer's experience at Skyline Cinema. It focuses on their actual visit, providing both positive and negative aspects of the cinema."
R003,Lotus Thai Kitchen,"I haven’t been here, but my cousin said it’s awful and the service is always rude.",No Rant Without Visit,Flagged,Flagged,No Rant Without Visit,"The review mentions the cousin's experience, which was not based on an actual visit to Lotus Thai Kitchen."
R019,Pinecone Hardware,Get your tools at hammerhub.example instead—fast shipping and coupons!,No Advertisement,Flagged,Flagged,No Advertisement,"The review contains the phrase ""Get your tools at hammerhub.example instead—fast shipping and coupons!"", which is promotional content. This violates the policy of not including advertisements in reviews."
XIC3,BlueFin Sushi,"My dog loves car rides, so I gave this place a high rating.",No Irrelevant Content,Flagged,Flagged,No Rant Without Visit,"The review praises the location without mentioning a personal visit or experience, implying speculation based on unrelated information about dogs and car rides."
R008,Greenleaf Park,Plenty of shade and clean restrooms. Great for picnics.,,Valid,Valid,None,"The review does not contain any promotional content, irrelevant information, or unverified claims, and it is based on the reviewer's actual experience at Greenleaf Park."
R016,Skyline Cinema,Follow @Dealz4U for free popcorn hacks!!!,No Advertisement,Flagged,Flagged,No Advertisement,"The review contains the phrase ""Follow @Dealz4U for free popcorn hacks!!!"", which is an advertisement promoting a separate entity and not related to the experience at Skyline Cinema."
R011,Metro Bookstore,"Never visited this place, but I’m giving 1 star because parking downtown is bad.",No Rant Without Visit,Flagged,Valid,None,"The review does not contain any promotional content, irrelevant information, or a rant without a visit. It only provides a general negative opinion about the location's parking situation based on its experience."
XIC2,City Gym,"I just bought new running shoes, can’t wait to test them. 5 stars anyway.",No Irrelevant Content,Flagged,Flagged,No Rant Without Visit,"The reviewer claims they can't wait to test the new running shoes, but there is no mention of their actual experience or visit to the City Gym."
R007,Greenleaf Park,"Didn’t go inside the park, but the neighborhood has too many dogs—1 star.",No Rant Without Visit,Flagged,Flagged,No Rant Without Visit,"The reviewer did not visit the park, but shared their concern about the neighborhood having too many dogs, which is unrelated to the experience at Greenleaf Park."
R014,BlueFin Sushi,"Didn’t eat here, just walked past. Looked crowded so 2 stars.",No Rant Without Visit,Flagged,Flagged,No Rant Without Visit,"The reviewer did not visit the location and instead walked past, yet expressed an opinion about the crowd. This indicates a speculation or hearsay comment that violates policy."
XIC4,Skyline Cinema,"The stock market is crazy these days, thought about it here.",No Irrelevant Content,Flagged,Valid,No Rant Without Visit,"The reviewer mentions their opinion about the current state of the stock market, which is unrelated to the Skyline Cinema experience. Although negative sentiment is present, it does not directly relate to a visit or experience at the cinema."
